chr1	4496954	4497354	NM_001289464
chr1	4496954	4497354	NM_001289465
chr1	4496954	4497354	NM_001289466
chr1	4496954	4497354	NM_001289467
chr1	4496954	4497354	NM_011441
chr1	5018334	5018734	NM_001290372
chr1	5019139	5019539	NM_021374
chr1	6359331	6359731	NM_001195732
chr1	9299477	9299877	NM_001290390
chr1	9299477	9299877	NM_001290392
chr1	9299477	9299877	NM_001290393
chr1	9299477	9299877	NM_027671
chr1	9798130	9798530	NM_133220
chr1	9798130	9798530	NM_177547
chr1	9848281	9848681	NM_001037759
chr1	9967410	9967810	NM_001285425
chr1	10993465	10993865	NM_029525
chr1	12990735	12991135	NM_172841
chr1	13126763	13127163	NM_001081209
chr1	15286925	15287325	NM_001098528
chr1	16105882	16106282	NM_133832
chr1	17097489	17097889	NM_020604
chr1	20890548	20890948	NM_028829
chr1	21962250	21962650	NM_001310477
chr1	21961542	21961942	NM_001160139
chr1	21961542	21961942	NM_023872
chr1	22805603	22806003	NM_001012623
chr1	22805603	22806003	NM_001012624
chr1	22805603	22806003	NM_001012625
chr1	22805603	22806003	NM_053270
chr1	22805603	22806003	NM_183018
chr1	23761926	23762326	NM_172124
chr1	25829307	25829707	NM_175642
chr1	33757350	33757750	NM_145392
chr1	33908225	33908625	NM_001276764
chr1	34459746	34460146	NM_011206
chr1	36307733	36308133	NM_001172205
chr1	36307733	36308133	NM_001172206
chr1	36307733	36308133	NM_001290726
chr1	36307733	36308133	NM_001290727
chr1	36307733	36308133	NM_145996
chr1	36307733	36308133	NR_033310
chr1	36471597	36471997	NM_033570
chr1	36557981	36558381	NM_001126047
chr1	37299838	37300238	NM_001290797
chr1	37299838	37300238	NM_030266
chr1	37719411	37719811	NM_028096
chr1	38626844	38627244	NM_001290814
chr1	38836287	38836687	NM_001029878
chr1	39194272	39194672	NM_008719
chr1	39478347	39478747	NM_018775
chr1	39478355	39478755	NM_001357521
chr1	39478355	39478755	NM_001357522
chr1	39650782	39651182	NM_170597
chr1	42952872	42953272	NM_053107
