chr1	4496954	4497354	NM_001289464
chr1	4496954	4497354	NM_001289465
chr1	4496954	4497354	NM_001289466
chr1	4496954	4497354	NM_001289467
chr1	4496954	4497354	NM_011441
chr1	5018334	5018734	NM_001290372
chr1	5019139	5019539	NM_021374
chr1	5916998	5917398	NM_010342
chr1	6359331	6359731	NM_001195732
chr1	9299477	9299877	NM_001290390
chr1	9299477	9299877	NM_001290392
chr1	9299477	9299877	NM_001290393
chr1	9299477	9299877	NM_027671
chr1	9798130	9798530	NM_133220
chr1	9798130	9798530	NM_177547
chr1	9848281	9848681	NM_001037759
chr1	9967410	9967810	NM_001285425
chr1	10993465	10993865	NM_029525
chr1	12990735	12991135	NM_172841
chr1	14309799	14310199	NM_001252192
chr1	14309799	14310199	NM_001310459
chr1	14309799	14310199	NM_010164
chr1	15286925	15287325	NM_001098528
chr1	15892322	15892722	NM_001033288
chr1	16092925	16093325	NM_001243238
chr1	16092925	16093325	NM_001305227
chr1	17097489	17097889	NM_020604
chr1	19104440	19104840	NR_151619
chr1	19103022	19103422	NM_153154
chr1	19208914	19209314	NM_001286340
chr1	19208914	19209314	NM_009334
chr1	19212054	19212454	NM_001025305
chr1	21962250	21962650	NM_001310477
chr1	21961542	21961942	NM_001160139
chr1	21961542	21961942	NM_023872
chr1	22805603	22806003	NM_001012623
chr1	22805603	22806003	NM_001012624
chr1	22805603	22806003	NM_001012625
chr1	22805603	22806003	NM_053270
chr1	22805603	22806003	NM_183018
chr1	23761926	23762326	NM_172124
chr1	24587037	24587437	NM_007733
chr1	25829307	25829707	NM_175642
chr1	32172722	32173122	NM_133235
chr1	33907221	33907621	NM_177235
chr1	33907367	33907767	NM_001310484
chr1	33908225	33908625	NM_001276764
chr1	34432799	34433199	NR_039562
chr1	34459746	34460146	NM_011206
chr1	34535648	34536048	NM_007685
chr1	34535648	34536048	NR_153806
chr1	34579693	34580093	NM_213727
chr1	34635810	34636210	NR_033627
chr1	34678182	34678582	NM_001368773
chr1	36307733	36308133	NM_001172205
